Manufacturer,Model,Storage,Option,Working,Broken
Microsoft,Xbox One,500GB,,,
Microsoft,Xbox One,1TB,,,
Microsoft,Xbox One S,500GB,,,
Microsoft,Xbox One S,1TB,,,
Microsoft,Xbox One S,2TB,,,
Microsoft,Xbox One X,1TB,,,
Nintendo,Switch,,,,
Nintendo,Wii U,8GB,,,
Nintendo,Wii U,32GB,,,
Nintendo,Super NES Classic,,,,
Nintendo,NES Classic,,,,
Nintendo,NES System,,,,
Nintendo,Super Nintendo System,,,,
Nintendo,3DS,,,,
Nintendo,3DS XL,,,,
Nintendo,NEW 3DS ,,,,
Nintendo,NEW 3DS XL,,,,
Nintendo,2DS System,,,,
Sony,Playstation 4,500GB,,,
Sony,Playstation 4,1TB,,,
Sony,Playstation 4 Slim,500GB,,,
Sony,Playstation 4 Slim,1TB,,,
Sony,Playstation 4 Pro,1TB,,,
Sony,Playstation vita ,,Wifi,,
Sony,Playstation vita,,Slim,,