Product,Generation,Size,Carrier,Model Number,Good,Broken
Apple,1st Gen 2015,38MM,NA,A1553,,
Apple,1st Gen 2015,42MM,NA,A1554,,
Apple,Series 1 (Second Gen),38MM,NA,A1802,,
Apple,Series 1 (Second Gen),42MM,NA,A1803,,
Apple,Series 2 (Second Gen),38MM,NA,A1757,,
Apple,Series 2 (Second Gen),42MM,NA,A1758,,
Apple,Series 3,38MM,GPS Only,A1858,,
Apple,Series 3,42MM,GPS Only,A1859,,
Apple,Series 3,38MM,Tmobile,A1860,,
Apple,Series 3,38MM,Sprint,A1860,,
Apple,Series 3,38MM,ATT,A1860,,
Apple,Series 3,38MM,Verizon,A1860,,
Apple,Series 3,38MM,Unlocked,A1860,,
Apple,Series 3,38MM,Other,"A1889, A1890",,
Apple ,Series 3,42MM,Tmobile,A1861,,
Apple,Series 3,42MM,Sprint,A1861,,
Apple,Series 3,42MM,ATT,A1861,,
Apple,Series 3,42MM,Verizon,A1861,,
Apple,Series 3,42MM,Unlocked,A1861,,
Apple,Series 3,42MM,Other,"A1891, A1892",,